Title,product_id,ISSN print,ISSN electronic,Imprint,"Primary Language",Open Access,Comment,License,Main discipline,"Production Editor"
Forum der Psychoanalyse,451,0178-7667,1437-0751,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,Psychology,"Muenzenmayer, Klaus"
Foundations of Chemistry,10698,1386-4238,1572-8463,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Fathima, Jasmine"
"Foundations of Computational Mathematics",10208,1615-3375,1615-3383,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Davis, Jeff"
Foundations of Physics,10701,0015-9018,1572-9516,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Devakumar, Radika"
Foundations of Science,10699,1233-1821,1572-8471,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Selvaraj, Ambiga"
Frontiers in Biology,11515,1674-7984,1674-7992,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Life Sciences,"Gotzmann, Volker"
"Frontiers of Chemical Science and Engineering",11705,2095-0179,2095-0187,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Chemistry,"Gotzmann, Volker"
Frontiers of Computer Science,11704,2095-2228,2095-2236,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,"Computer Science","Gotzmann, Volker"
Frontiers of Earth Science,11707,2095-0195,2095-0209,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Gotzmann, Volker"
Frontiers in Energy,11708,2095-1701,2095-1698,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Engineering,"Gotzmann, Volker"
"Frontiers of Environmental Science & Engineering",11783,2095-2201,2095-221X,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Environment,"Gotzmann, Volker"
"Frontiers of Mechanical Engineering",11465,2095-0233,2095-0241,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Engineering,"Gotzmann, Volker"
Frontiers of Medicine,11684,2095-0217,2095-0225,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Gotzmann, Volker"
Frontiers of Optoelectronics,12200,2095-2759,2095-2767,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Engineering,"Gotzmann, Volker"
Frontiers of Physics,11467,2095-0462,2095-0470,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Physics,"Gotzmann, Volker"
"Frontiers of Structural and Civil Engineering",11709,2095-2430,2095-2449,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Engineering,"Gotzmann, Volker"
"Fudan Journal of the Humanities and Social Sciences",40647,1674-0750,2198-2600,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Ganesan, Remya"
"Functional & Integrative Genomics",10142,,1438-7948,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Pinero, Marlon"
Fungal Diversity,13225,1560-2745,1878-9129,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Faber, Meertinus"
"Fuzzy Optimization and Decision Making",10700,1568-4539,1573-2908,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Anitha, G. V."
Gastric Cancer,10120,1436-3291,1436-3305,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Babu, Saravanan"
Der Gastroenterologe,11377,1861-9681,1861-969X,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Meyer-Vom Hagen, Petra"
Gefässchirurgie,772,0948-7034,1434-3932,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Jung, Amelie"
"GEM - International Journal on Geomathematics",13137,1869-2672,1869-2680,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Uhl, Beate"
Gender Issues,12147,1098-092X,1936-4717,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Jayaraj, Poongulazhali"
General Relativity and Gravitation,10714,,1572-9532,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Kuebler, Andrea"
"General Thoracic and Cardiovascular Surgery",11748,1863-6705,1863-6713,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Babu, Saravanan"
Genes & Genomics,13258,,2092-9293,"The Genetics Society of Korea, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Life Sciences,"Sekar, Anu"
"Genetic Programming and Evolvable Machines",10710,1389-2576,1573-7632,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Chandrasekar, Priya"
"Genetic Resources and Crop Evolution",10722,0925-9864,1573-5109,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Gopalan, Anitha"
Genetica,10709,0016-6707,1573-6857,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Gunasekaran, Kavitha"
Geoheritage,12371,1867-2477,1867-2485,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Fabe, Junlen"
GeoInformatica,10707,1384-6175,1573-7624,Springer,English,Hybrid (Open Choice),,CC BY,Geography,"Pis-an, Maria Cathelyn"
GeoJournal,10708,0343-2521,1572-9893,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Selvaraj, Devi"
Geo-Marine Letters,367,0276-0460,1432-1157,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Fabe, Junlen"
"Geomechanics and Geophysics for Geo-Energy and Geo- Resources",40948,2363-8419,2363-8427,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Fathima, Jasmine"
Geometriae Dedicata,10711,0046-5755,1572-9168,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Anitha, G. V."
"Geometric and Functional Analysis",39,1016-443X,1420-8970,Birkhäuser,English,Hybrid (Open Choice),,CC BY,Mathematics,"Varghese, Beulah"
"Geotechnical and Geological Engineering",10706,0960-3182,1573-1529,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Fathima, Jasmine"
"German Journal of Exercise and Sport Research",12662,2509-3142,2509-3150,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Frey, Holger"
GeroScience,11357,2509-2715,2509-2723,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Jolbot, Michelle"
Gesunde Pflanzen,10343,0367-4223,1439-0345,Springer,German,Hybrid (Open Choice),,CC BY,Life Sciences,"Häseler, Angelika"
Glass Structures & Engineering,40940,2363-5142,2363-5150,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Vloemans, Hermine"
"Global Journal of Flexible Systems Management",40171,0972-2696,0974-0198,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Maharajan, Suganya"
Global Social Welfare,40609,,2196-8799,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Duning, Renante"
Glycoconjugate Journal,10719,0282-0080,1573-4986,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Panday, Leonora"
GPS Solutions,10291,1080-5370,1521-1886,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Ratnabai, Sumathi"
"Graefe's Archive for Clinical and Experimental Ophthalmology",417,0721-832X,1435-702X,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Ariaga- Cabahug, Leah Mae"
Granular Computing,41066,2364-4966,2364-4974,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Dimler, Gertrud"
Granular Matter,10035,1434-5021,1434-7636,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Namperumal, Citra"
Graphene Technology,41127,2365-6301,2365-631X,Springer,English,Hybrid (Open Choice),,CC BY,"Materials Science","Kuebler, Andrea"
Graphs and Combinatorics,373,0911-0119,1435-5914,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Ganesan, Remya"
Group Decision and Negotiation,10726,0926-2644,1572-9907,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Selvaraj, Ambiga"
Grundwasser,767,1430-483X,1432-1165,Springer,German,Hybrid (Open Choice),,CC BY,Earth Sciences,"Daum, Jutta"
"Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO)",11612,2366-6145,2366-6218,Springer,German,Hybrid (Open Choice),,CC BY,Psychology,"Litterer, Marina"
Der Gynäkologe,129,0017-5994,1433-0393,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Schleich, Vera"
Gynäkologische Endokrinologie,10304,1610-2894,1610-2908,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Schleich, Vera"
Hague Journal on the Rule of Law,40803,1876-4045,1876-4053,Springer,English,Hybrid (Open Choice),,CC BY,Law,"Vogel, Andreas"
Der Hautarzt,105,0017-8470,1432-1173,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Scheuermann, Ria"
hautnah,12326,1866-2250,2192-6484,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Frey, Holger"
Head and Neck Pathology,12105,,1936-0568,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Raj, Vatsala"
Health Care Analysis,10728,1065-3058,1573-3394,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Devakumar, Radika"
Health Care Management Science,10729,1386-9620,1572-9389,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Janguin, Emilie"
"Health Information Science and Systems",13755,,2047-2501,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Triner, Annette"
"Health Services and Outcomes Research Methodology",10742,1387-3741,1572-9400,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Panneerselvam, Prathap"
Health and Technology,12553,2190-7188,2190-7196,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Dagoy, Igan"
Heart Failure Reviews,10741,1382-4147,1573-7322,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Gargar, Mary Jane"
Heart and Vessels,380,0910-8327,1615-2573,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Stella, Angeline"
Heat and Mass Transfer,231,0947-7411,1432-1181,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Marino, Irish"
HEC Forum,10730,0956-2737,1572-8498,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Gunasekaran, Kavitha"
HeilberufeScience,16024,,2190-2100,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Muenzenmayer, Klaus"
Hepatology International,12072,1936-0533,1936-0541,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Muthulakshmi, S."
Herz,59,0340-9937,1615-6692,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Scheuermann, Ria"
"Herzschrittmachertherapie + Elektrophysiologie",399,0938-7412,1435-1544,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Kehl, Claudia"
Higher Education,10734,0018-1560,1573-174X,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Villahermosa, Aimee"
Histochemistry and Cell Biology,418,0948-6143,1432-119X,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Ahmed, Sadat"
Historical Archaeology,41636,0440-9213,2328-1103,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Cerami, Joe"
"History and Philosophy of the Life Sciences",40656,0391-9714,1742-6316,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Klijn, Marielle"
"HMD Praxis der Wirtschaftsinformatik",40702,1436-3011,2198-2775,Springer Vieweg,German,Hybrid (Open Choice),,CC BY,"Computer Science","Schüller, Bernhard"
HNO,106,0017-6192,1433-0458,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Kehl, Claudia"
Homo Oeconomicus,41412,,2366-6161,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Schüller, Bernhard"
Hormones and Cancer,12672,1868-8497,1868-8500,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Cerami, Joe"
HSS Journal ®,11420,1556-3316,1556-3324,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Maged, Robert"
Human Arenas,42087,2522-5790,2522-5804,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,Psychology,"Delgado, Melissa"
Human Cell,13577,,1749-0774,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Babu, Saravanan"
Human Ecology,10745,0300-7839,1572-9915,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Gerona, Razel"
"Human Factors and Mechanical Engineering for Defense and Safety",41314,2509-8004,2367-2544,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Rentmeester, Esther"
Human Genetics,439,0340-6717,1432-1203,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Pappichetty, Jayaprakash"
Human Nature,12110,1045-6767,1936-4776,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Pis-an, Maria Cathelyn"
Human Rights Review,12142,1524-8879,1874-6306,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Parcon, Jennyca"
Human Studies,10746,0163-8548,1572-851X,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Klijn, Marielle"
"Human-Intelligent Systems Integration",42454,2524-4876,2524-4884,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,Engineering,"Hofrichter, Patricia"
Humanistic Management Journal,41463,2366-603X,2366-6048,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Vloemans, Hermine"
Husserl Studies,10743,0167-9848,1572-8501,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Arcot, Shrivatsan"
Hydrobiologia,10750,0018-8158,1573-5117,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Lichtveld, Pauline"
Hydrogeology Journal,10040,1431-2174,1435-0157,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Fabe, Junlen"
Hyperfine Interactions,10751,,1572-9540,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Pieren, Eric"
Ichthyological Research,10228,1341-8998,1616-3915,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Jeyaraj, Aravindhan"
"IIC - International Review of Intellectual Property and Competition Law",40319,0018-9855,2195-0237,Springer,English,Hybrid (Open Choice),,CC BY,Law,"Vogel, Andreas"
Immunogenetics,251,0093-7711,1432-1211,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Bajar, Mar-Jhon"
Immunologic Research,12026,0257-277X,1559-0755,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Icamen, Eurica Mae"
In Silico Pharmacology,40203,,2193-9616,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Treiber, Petra"
"In Vitro Cellular & Developmental Biology - Animal",11626,1071-2690,1543-706X,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Borgenicht, Jodi"
"In Vitro Cellular & Developmental Biology - Plant",11627,1054-5476,1475-2689,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Borgenicht, Jodi"
INAE Letters,41403,2366-326X,2366-3278,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Daum, Jutta"
Indian Economic Review,41775,0019-4670,2520-1778,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Dilger, Julia"
"Indian Journal of Clinical Biochemistry",12291,0970-1915,0974-0422,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Maharajan, Suganya"
"Indian Journal of Gastroenterology",12664,0254-8860,0975-0711,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Wervone Aguilar, Andrew"
"Indian Journal of Gynecologic Oncology",40944,2363-8397,2363-8400,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Hart, Kerstin"
"Indian Journal of Hematology and Blood Transfusion",12288,0971-4502,0974-0449,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Maharajan, Suganya"
"Indian Journal of International Law",40901,0019-5294,2199-7411,Springer,English,Hybrid (Open Choice),,CC BY,Law,"Dilger, Julia"
"The Indian Journal of Labour Economics",41027,0971-7927,0019-5308,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Uhl, Beate"
Indian Journal of Microbiology,12088,0046-8991,0973-7715,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Maharajan, Suganya"
"Indian Journal of Otolaryngology and Head & Neck Surgery",12070,2231-3796,0973-7707,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Maharajan, Suganya"
The Indian Journal of Pediatrics,12098,0019-5456,0973-7693,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Wervone Aguilar, Andrew"
Indian Journal of Physics,12648,0973-1458,0974-9845,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Muthulakshmi, S."
Indian Journal of Surgery,12262,0972-2068,0973-9793,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Chavez, Shiela"
"Indian Journal of Surgical Oncology",13193,0975-7651,0976-6952,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Wervone Aguilar, Andrew"
"Indian Journal of Thoracic and Cardiovascular Surgery",12055,0970-9134,0973-7723,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Wervone Aguilar, Andrew"
Indian Pediatrics,13312,0019-6061,0974-7559,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Schüller, Bernhard"
Indian Phytopathology,42360,0367-973X,2248-9800,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,Life Sciences,"Kehl, Claudia"
Infection,15010,0300-8126,1439-0973,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Häseler, Angelika"
Inflammation,10753,0360-3997,1573-2576,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Cataylo, Arlie"
Inflammation Research,11,1023-3830,1420-908X,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Rajendran, Thangeswari"
Inflammopharmacology,10787,0925-4692,1568-5608,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Bala, Senthil"
