Title,Format,product_id,ISSN print,ISSN electronic,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment
Health Information Science and Systems,E C,13755,,2047-2501,Springer,English,1,7,1,Hybrid (Open Choice),Available in electronic format only. 
Health Services and Outcomes Research Methodology,PE OF,10742,1387-3741,1572-9400,Springer,English,1,19,4,Hybrid (Open Choice),
Health and Technology,PE OF S,12553,2190-7188,2190-7196,Springer,English,1,9,5,Hybrid (Open Choice),
Heart Failure Reviews,PE OF S,10741,1382-4147,1573-7322,Springer,English,1,24,6,Hybrid (Open Choice),
Heart and Vessels,PE OF S,380,0910-8327,1615-2573,Springer,English,1,34,12,Hybrid (Open Choice),
Heat and Mass Transfer,PE OF,231,0947-7411,1432-1181,Springer,English,1,55,12,Hybrid (Open Choice),
HEC Forum,PE OF,10730,0956-2737,1572-8498,Springer,English,1,31,4,Hybrid (Open Choice),
HeilberufeScience,E OF,16024,,2190-2100,SpringerMedizin,German,1,10,4,Hybrid (Open Choice),
Hepatology International,PE OF,12072,1936-0533,1936-0541,Springer,English,1,13,6,Hybrid (Open Choice),
Heredity,PE,41437,0018-067X,1365-2540,Springer Nature,English,2,122-123,6,Hybrid (Open Choice),Online version only available through an institutional license. 
Hernia,PE OF S,10029,1265-4906,1248-9204,Springer,English,1,23,6,Hybrid (Open Choice),
Herz,PE,59,0340-9937,1615-6692,SpringerMedizin,German,1,44,8,Hybrid (Open Choice),
Herzschrittmachertherapie + Elektrophysiologie,PE OF S,399,0938-7412,1435-1544,SpringerMedizin,German,1,30,4,Hybrid (Open Choice),
High Blood Pressure & Cardiovascular Prevention,E OF S,40292,,1179-1985,Adis,English,1,26,6,Hybrid (Open Choice),
Higher Education,PE OF,10734,0018-1560,1573-174X,Springer,English,2,77-78,6,Hybrid (Open Choice),
Histochemistry and Cell Biology,PE OF S,418,0948-6143,1432-119X,Springer,English,2,151-152,6,Hybrid (Open Choice),
Historical Archaeology,PE OF S,41636,0440-9213,2328-1103,Springer,English,1,53,4,Hybrid (Open Choice),
History and Philosophy of the Life Sciences,PE C,40656,0391-9714,1742-6316,Springer,English,1,41,4,Hybrid (Open Choice),
HMD Praxis der Wirtschaftsinformatik,PE OF,40702,1436-3011,2198-2775,Springer Vieweg,German,1,56,6,Hybrid (Open Choice),
HNO,PE OF,106,0017-6192,1433-0458,SpringerMedizin,German,1,67,12,Hybrid (Open Choice),
Homo Oeconomicus,E OF S,41412,,2366-6161,Springer,English,1,36,4,Hybrid (Open Choice),Available in electronic format only. 
Hormones,E OF S,42000,,2520-8721,Springer,English,1,18,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: Hellenic Endocrine Society. Available in electronic format only. 
Hormones and Cancer,PE OF,12672,1868-8497,1868-8500,Springer,English,1,10,6,Hybrid (Open Choice),
HSS Journal ®,PE OF S,11420,1556-3316,1556-3324,Springer,English,1,15,3,Hybrid (Open Choice),
Human Arenas,PE,42087,2522-5790,2522-5804,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. 
Human Cell,E OF S,13577,,1749-0774,Springer,English,1,32,4,Hybrid (Open Choice),
Human Ecology,PE OF,10745,0300-7839,1572-9915,Springer,English,1,47,6,Hybrid (Open Choice),
Human Factors and Mechanical Engineering for Defense and Safety,PE C,41314,2509-8004,2367-2544,Springer,English,1,3,1,Hybrid (Open Choice),
Human Genetics,PE OF S,439,0340-6717,1432-1203,Springer,English,1,138,12,Hybrid (Open Choice),
Human Nature,PE OF,12110,1045-6767,1936-4776,Springer,English,1,30,4,Hybrid (Open Choice),
Human Rights Review,PE OF,12142,1524-8879,1874-6306,Springer,English,1,20,4,Hybrid (Open Choice),
Human Studies,PE OF,10746,0163-8548,1572-851X,Springer,English,1,42,4,Hybrid (Open Choice),
Human-Intelligent Systems Integration,PE OF,42454,2524-4876,2524-4884,Springer,English,1,1,4,Hybrid (Open Choice),New Start in 2019. 
Humanistic Management Journal,PE OF,41463,2366-603X,2366-6048,Springer,English,1,4,2,Hybrid (Open Choice),
Husserl Studies,PE OF,10743,0167-9848,1572-8501,Springer,English,1,35,3,Hybrid (Open Choice),
Hydrobiologia,PE OF,10750,0018-8158,1573-5117,Springer,English,21,826-846,1,Hybrid (Open Choice),
Hydrogeology Journal,PE OF S,10040,1431-2174,1435-0157,Springer,English,1,27,8,Hybrid (Open Choice),
Hyperfine Interactions,E S C,10751,,1572-9540,Springer,English,1,240,1,Hybrid (Open Choice),
Hypertension Research,PE OF S,41440,0916-9636,1348-4214,Springer Nature,English,1,42,12,Hybrid (Open Choice),Online version only available through an institutional license. 
Ichthyological Research,PE OF S,10228,1341-8998,1616-3915,Springer,English,1,66,4,Hybrid (Open Choice),
IIC - International Review of Intellectual Property and Competition Law,PE OF,40319,0018-9855,2195-0237,Springer,English,1,50,9,Hybrid (Open Choice),
Immunogenetics,PE OF S,251,0093-7711,1432-1211,Springer,English,1,71,10,Hybrid (Open Choice),
Immunologic Research,PE OF S,12026,0257-277X,1559-0755,Springer,English,1,67,6,Hybrid (Open Choice),
In Silico Pharmacology,E C,40203,,2193-9616,Springer,English,1,7,1,Hybrid (Open Choice),
In Vitro Cellular & Developmental Biology - Animal,PE OF S,11626,1071-2690,1543-706X,Springer,English,1,55,10,Hybrid (Open Choice),
In Vitro Cellular & Developmental Biology - Plant,PE OF S,11627,1054-5476,1475-2689,Springer,English,1,55,6,Hybrid (Open Choice),
INAE Letters,PE OF,41403,2366-326X,2366-3278,Springer,English,1,4,4,Hybrid (Open Choice),
Indian Economic Review,PE OF,41775,0019-4670,2520-1778,Springer,English,1,54,2,Hybrid (Open Choice),
Indian Journal of Clinical Biochemistry,PE OF,12291,0970-1915,0974-0422,Springer,English,1,34,4,Hybrid (Open Choice),
Indian Journal of Gastroenterology,PE OF,12664,0254-8860,0975-0711,Springer,English,1,38,6,Hybrid (Open Choice),
Indian Journal of Gynecologic Oncology,PE OF C,40944,2363-8397,2363-8400,Springer,English,1,17,4,Hybrid (Open Choice),
Indian Journal of Hematology and Blood Transfusion,PE OF,12288,0971-4502,0974-0449,Springer,English,1,35,4,Hybrid (Open Choice),
Indian Journal of International Law,PE OF,40901,0019-5294,2199-7411,Springer,English,1,59,4,Hybrid (Open Choice),
The Indian Journal of Labour Economics,PE OF,41027,0971-7927,0019-5308,Springer,English,1,62,4,Hybrid (Open Choice),
Indian Journal of Microbiology,PE OF,12088,0046-8991,0973-7715,Springer,English,1,59,4,Hybrid (Open Choice),
Indian Journal of Otolaryngology and Head & Neck Surgery,PE OF,12070,2231-3796,0973-7707,Springer,English,1,71,4,Hybrid (Open Choice),
The Indian Journal of Pediatrics,PE OF,12098,0019-5456,0973-7693,Springer,English,1,86,12,Hybrid (Open Choice),
Indian Journal of Physics,PE OF,12648,0973-1458,0974-9845,Springer,English,1,93,12,Hybrid (Open Choice),
Indian Journal of Plant Physiology,PE OF,40502,0019-5502,0974-0252,Springer,English,1,24,4,Hybrid (Open Choice),
Indian Journal of Surgery,PE OF,12262,0972-2068,0973-9793,Springer,English,1,81,6,Hybrid (Open Choice),
Indian Journal of Surgical Oncology,PE OF,13193,0975-7651,0976-6952,Springer,English,1,10,4,Hybrid (Open Choice),
Indian Journal of Thoracic and Cardiovascular Surgery,PE OF,12055,0970-9134,0973-7723,Springer,English,1,35,4,Hybrid (Open Choice),
Indian Pediatrics,PE OF,13312,0019-6061,0974-7559,Springer,English,1,56,12,Hybrid (Open Choice),
Indian Phytopathology,PE OF,42360,0367-973X,2248-9800,Springer,English,1,72,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: Indian Phytopathological Society. 
Infection,PE OF S,15010,0300-8126,1439-0973,Springer,English,1,47,6,Hybrid (Open Choice),
Inflammation,PE OF S,10753,0360-3997,1573-2576,Springer,English,1,42,6,Hybrid (Open Choice),
Inflammation Research,PE OF S,11,1023-3830,1420-908X,Springer,English,1,68,12,Hybrid (Open Choice),
Inflammopharmacology,PE OF S,10787,0925-4692,1568-5608,Springer,English,1,27,6,Hybrid (Open Choice),
Informatik-Spektrum,PE OF,287,0170-6012,1432-122X,Springer,German,1,42,6,Hybrid (Open Choice),
Information Geometry,PE OF S,41884,2511-2481,2511-249X,Springer,English,1,2,2,Hybrid (Open Choice),New Start in 2018. 
Information Retrieval Journal,PE OF,10791,1386-4564,1573-7659,Springer,English,1,22,6,Hybrid (Open Choice),
Information Systems and e-Business Management,PE OF,10257,1617-9846,1617-9854,Springer,English,1,17,4,Hybrid (Open Choice),
Information Systems Frontiers,PE OF,10796,1387-3326,1572-9419,Springer,English,1,21,6,Hybrid (Open Choice),
Information Technology and Management,PE OF,10799,1385-951X,1573-7667,Springer,English,1,20,4,Hybrid (Open Choice),
Information Technology & Tourism,PE OF,40558,1098-3058,1943-4294,Springer,English,1,21,4,Hybrid (Open Choice),
Innovations in Systems and Software Engineering,PE OF,11334,1614-5046,1614-5054,Springer,English,1,15,4,Hybrid (Open Choice),
Innovative Higher Education,PE OF,10755,0742-5627,1573-1758,Springer,English,1,44,6,Hybrid (Open Choice),
Innovative Infrastructure Solutions,E C,41062,,2364-4184,Springer,English,1,4,1,Hybrid (Open Choice),Available in electronic format only. 
Insectes Sociaux,PE OF S,40,0020-1812,1420-9098,Springer,English,1,66,4,Hybrid (Open Choice),
Instructional Science,PE OF,11251,0020-4277,1573-1952,Springer,English,1,47,6,Hybrid (Open Choice),
Integral Equations and Operator Theory,PE C,20,0378-620X,1420-8989,Birkhäuser,English,1,91,6,Hybrid (Open Choice),
Integrating Materials and Manufacturing Innovation,E OF,40192,,2193-9772,Springer,English,1,8,4,Hybrid (Open Choice),
Integrative Psychological and Behavioral Science,PE OF,12124,1932-4502,1936-3567,Springer,English,1,53,4,Hybrid (Open Choice),
Intelligent Service Robotics,E OF,11370,,1861-2784,Springer,English,1,12,4,Hybrid (Open Choice),
Intensive Care Medicine,PE OF S,134,0342-4642,1432-1238,Springer,English,1,45,12,Hybrid (Open Choice),
Interchange,PE OF,10780,0826-4805,1573-1790,Springer,English,1,50,4,Hybrid (Open Choice),
Interdisciplinary Sciences: Computational Life Sciences,PE OF,12539,1913-2751,1867-1462,"International Association of Scientists in the Interdisciplinary Areas, co-published with Springer",English,1,11,4,Hybrid (Open Choice),Chinese Library of Science. 
Intereconomics,PE,10272,0020-5346,1613-964X,Springer,English,1,54,6,Hybrid (Open Choice),
Interest Groups & Advocacy,E,41309,,2047-7422,Palgrave Macmillan,English,1,8,4,Hybrid (Open Choice),Erratum Journals List: Publishes 4 issues in 2019. Online version only available through an institutional license. Available in electronic format only. 
Internal and Emergency Medicine,E OF S,11739,,1970-9366,Springer,English,1,14,8,Hybrid (Open Choice),
International Advances in Economic Research,PE OF S,11294,1083-0898,1573-966X,Springer,English,1,25,4,Hybrid (Open Choice),
International Archives of Occupational and Environmental Health,PE OF,420,0340-0131,1432-1246,Springer,English,1,92,8,Hybrid (Open Choice),
International Cancer Conference Journal,E OF S,13691,,2192-3183,Springer,English,1,8,4,Hybrid (Open Choice),
International Communication of Chinese Culture,PE OF,40636,2197-4233,2197-4241,Springer,English,1,6,4,Hybrid (Open Choice),
International Economics and Economic Policy,PE OF,10368,1612-4804,1612-4812,Springer,English,1,16,4,Hybrid (Open Choice),
International Entrepreneurship and Management Journal,PE OF,11365,1554-7191,1555-1938,Springer,English,1,15,4,Hybrid (Open Choice),
"International Environmental Agreements: Politics, Law and Economics",PE OF,10784,1567-9764,1573-1553,Springer,English,1,19,6,Hybrid (Open Choice),
The International Journal of Advanced Manufacturing Technology,PE OF,170,0268-3768,1433-3015,Springer,English,6,100-105,12,Hybrid (Open Choice),
International Journal for the Advancement of Counselling,PE OF,10447,0165-0653,1573-3246,Springer,English,1,41,4,Hybrid (Open Choice),
International Journal of Aeronautical and Space Sciences,E,42405,,2093-2480,"The Korean Society for Aeronautical & Space Sciences, co-published with Springer",English,1,20,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: The Korean Society for Aeronautical & Space Sciences. Available in electronic format only. 
International Journal of Applied and Computational Mathematics,PE OF C,40819,2349-5103,2199-5796,Springer,English,1,5,6,Hybrid (Open Choice),
International Journal of Applied Positive Psychology,PE OF S,41042,2364-5040,2364-5059,Springer,English,1,4,3,Hybrid (Open Choice),
International Journal of Artificial Intelligence in Education,E OF,40593,,1560-4306,Springer,English,1,29,4,Hybrid (Open Choice),Available in electronic format only. 
International Journal of Automation and Computing,PE,11633,1476-8186,1751-8520,"Institute of Automation, Chinese Academy of Sciences, co-published with Springer",English,1,16,6,Hybrid (Open Choice),Chinese Library of Science. 
International Journal of Behavioral Medicine,PE OF,12529,1070-5503,1532-7558,Springer,English,1,26,6,Hybrid (Open Choice),
International Journal of Biometeorology,PE OF,484,0020-7128,1432-1254,Springer,English,1,63,12,Hybrid (Open Choice),
International Journal of Bullying Prevention,PE,42380,2523-3653,2523-3661,Springer,English,1,1,4,Hybrid (Open Choice),New Start in 2019. 
The International Journal of Cardiovascular Imaging,E OF S,10554,,1573-0743,Springer,English,1,35,12,Hybrid (Open Choice),
"International Journal on Child Maltreatment: Research, Policy and Practice",PE,42448,2524-5236,2524-5244,Springer,English,1,2,4,Hybrid (Open Choice),Addendum Journals List: New Start in 2018. 
International Journal of Civil Engineering,PE,40999,1735-0522,2383-3874,Springer,English,1,17,12,Hybrid (Open Choice),
International Journal of the Classical Tradition,PE OF,12138,1073-0508,1874-6292,Springer,English,1,26,4,Hybrid (Open Choice),
International Journal of Clinical Oncology,PE OF S,10147,1341-9625,1437-7772,Springer,English,1,24,12,Hybrid (Open Choice),
International Journal of Clinical Pharmacy,PE OF S,11096,2210-7703,2210-7711,Springer,English,1,41,6,Hybrid (Open Choice),
International Journal of Cognitive Therapy,E,41811,,1937-1217,Springer,English,1,12,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: Guilford Press. Available in electronic format only. 
International Journal of Colorectal Disease,E OF S,384,,1432-1262,Springer,English,1,34,12,Hybrid (Open Choice),
International Journal of Community Well-Being,PE,42413,2524-5295,2524-5309,Springer,English,1,2,4,Hybrid (Open Choice),Addendum Journals List: New Start in 2018. 
International Journal of Computer Assisted Radiology and Surgery,PE OF S,11548,1861-6410,1861-6429,Springer,English,1,14,12,Hybrid (Open Choice),
International Journal of Computer Vision,PE OF,11263,0920-5691,1573-1405,Springer,English,1,127,12,Hybrid (Open Choice),
International Journal of Computer-Supported Collaborative Learning,PE OF,11412,1556-1607,1556-1615,Springer,English,1,14,4,Hybrid (Open Choice),
International Journal of Data Science and Analytics,PE OF S,41060,2364-415X,2364-4168,Springer,English,2,7-8,4,Hybrid (Open Choice),
International Journal of Diabetes in Developing Countries,PE OF,13410,0973-3930,1998-3832,Springer,English,1,39,4,Hybrid (Open Choice),
International Journal on Digital Libraries,PE OF,799,1432-5012,1432-1300,Springer,English,1,20,4,Hybrid (Open Choice),
International Journal of Disclosure and Governance,PE OF,41310,1741-3591,1746-6539,Palgrave Macmillan,English,1,16,4,Hybrid (Open Choice),Online version only available through an institutional license. 
International Journal on Document Analysis and Recognition (IJDAR),PE OF,10032,1433-2833,1433-2825,Springer,English,1,22,4,Hybrid (Open Choice),
International Journal of Dynamics and Control,PE OF,40435,2195-268X,2195-2698,Springer,English,1,7,4,Hybrid (Open Choice),Chinese Library of Science. 
International Journal of Early Childhood,PE OF,13158,0020-7187,1878-4658,Springer,English,1,51,3,Hybrid (Open Choice),
International Journal of Earth Sciences,E OF S,531,,1437-3262,Springer,English,1,108,8,Hybrid (Open Choice),
International Journal of Economic Policy Studies,PE,42495,2524-4892,1881-4387,Springer,English,1,13,2,Hybrid (Open Choice),Take-over in 2019. Former publisher: Self-published by the society. 
International Journal for Educational and Vocational Guidance,PE OF,10775,0251-2513,1573-1782,Springer,English,1,19,3,Hybrid (Open Choice),
International Journal of Energy and Water Resources,PE OF S,42108,2538-3604,2522-0101,Springer,English,1,3,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: Islamic Azad University. 
International Journal of Environmental Research,PE OF S,41742,1735-6865,2008-2304,Springer,English,1,13,6,Hybrid (Open Choice),
International Journal of Environmental Science and Technology,PE OF,13762,1735-1472,1735-2630,Springer,English,1,16,12,Hybrid (Open Choice),
International Journal of Ethics Education,PE OF,40889,2363-9997,2364-0006,Springer,English,1,4,2,Hybrid (Open Choice),
International Journal of Fracture,PE OF,10704,0376-9429,1573-2673,Springer,English,6,215-220,2,Hybrid (Open Choice),
International Journal of Fuzzy Systems,PE,40815,1562-2479,2199-3211,Springer,English,1,21,8,Hybrid (Open Choice),
International Journal of Game Theory,PE OF,182,0020-7276,1432-1270,Springer,English,1,48,4,Hybrid (Open Choice),
International Journal of Geosynthetics and Ground Engineering,PE C,40891,2199-9260,2199-9279,Springer,English,1,5,4,Hybrid (Open Choice),
International Journal of Global Business and Competitiveness,E OF,42943,,0973-4619,Springer,English,1,14,1,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Global Institute of Flexible Systems Management. Available in electronic format only. 
International Journal of Health Economics and Management,PE OF,10754,2199-9023,2199-9031,Springer,English,1,19,4,Hybrid (Open Choice),
International Journal of Hindu Studies,PE OF,11407,1022-4556,1574-9282,Springer,English,1,23,3,Hybrid (Open Choice),
